MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/13/2017 3:11:26 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
1.1279297 416.33606 0.006261915 -1.0377893e-05
1.1376953 420.20023 0.0063811243 1.6118423e-05
1.1474609 423.8233  0.0064520538 -0.00013924943
1.1572266 428.6456  0.0065103173 -9.3205876e-05
1.1669922 428.17905 0.0065341592 -7.3999923e-05
1.1767578 435.62158 0.006647557 1.9656543e-05
1.1865234 435.77716 0.0067199767 -0.00013563145
1.1962891 434.54483 0.0067909062 -0.00019792811
1.2060547 436.13553 0.0068332255 -4.8680195e-05
1.2158203 437.202   0.006814152 -6.9341477e-05
1.2255859 436.50714 0.0068308413 -5.758405e-05
1.2353516 440.67087 0.0069184601 -0.00019073396
1.2451172 445.72455 0.0069580972 -5.2985299e-05
1.2548828 449.64136 0.0070331991 3.5880643e-05
1.2646484 456.97763 0.0071007013 -9.9021541e-05
1.2744141 463.90369 0.0072440505 -6.882615e-05
1.2841797 464.8186  0.0072464347 -0.00011792185
1.2939453 466.03589 0.0072988868 3.4259047e-05
1.3037109 465.22543 0.0073194504 -7.416914e-05
1.3134766 462.00159 0.0072851777 -0.00015805841
1.3232422 467.95145 0.0074239075 -5.7050525e-05
1.3330078 481.35889 0.0075547397 -7.6121098e-05
1.3427734 487.07367 0.0076030195 -1.3193689e-05
1.3525391 488.98843 0.0076852739 -0.00016529778
1.3623047 487.26337 0.0077073276 -0.00011529082
1.3720703 483.04007 0.0076921284 4.9426667e-06
1.3818359 483.4935  0.0077340007 -8.1661827e-05
1.3916016 485.50427 0.0077907741 -5.9597744e-05
1.4013672 483.4509  0.0077871978 -0.00015602642
1.4111328 486.87756 0.007815212 -1.166273e-06
1.4208984 491.47781 0.0079260767 1.1836837e-05
1.4306641 490.95346 0.0078648329 -0.00010972482
1.4404297 498.24835 0.007982254 -8.5813161e-05
1.4501953 509.979   0.0080884993 -8.8799199e-05
1.4599609 513.92181 0.0081375241 2.081451e-05
