MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.021484 s         4/20/2017 10:51:56 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.030273438 9.8231802 8.4191561e-05
0.040039063 11.47978 6.8992376e-05
0.049804688 10.468028 9.8049641e-05
0.059570313 11.001043 4.9769878e-05
0.069335938 14.713369 0.00015884638
0.079101563 19.904972 0.00018686056
0.088867188 21.817051 0.00016927719
0.098632813 31.696709 0.00026345253
0.10839844 38.519466 0.00030681491
0.11816406 45.919903 0.00037804246
0.12792969 54.149887 0.00049009919
0.13769531 58.549381 0.00051096082
0.14746094 64.913628 0.00054314733
0.15722656 73.886925 0.00067979097
0.16699219 74.978325 0.00068664551
0.17675781 82.638153 0.00072166324
0.18652344 89.50692 0.00079974532
0.19628906 93.773338 0.00080987811
0.20605469 98.728355 0.00091046095
0.21582031 103.75961 0.00092148781
0.22558594 109.59026 0.00099390745
0.23535156 115.19093 0.00099852681
0.24511719 120.04279 0.0011020899
0.25488281 129.07021 0.0011666119
0.26464844 131.90593 0.001167506
0.27441406 145.2589 0.0013391674
0.28417969 152.20534 0.0013484061
0.29394531 158.96725 0.0014603138
0.30371094 162.13979 0.0014638901
0.31347656 163.63077 0.0015115738
0.32324219 167.72595 0.0015811622
0.33300781 180.11137 0.0015977025
0.34277344 184.84813 0.0016793609
0.35253906 186.97108 0.0017294288
0.36230469 193.57581 0.0017620623
0.37207031 202.89861 0.0018507242
0.38183594 212.17551 0.0019426644
0.39160156 218.26115 0.0020302832
0.40136719 225.55731 0.0020901859
0.41113281 231.88855 0.002053529
0.42089844 234.70625 0.002169311
0.43066406 237.81561 0.0022062659
0.44042969 246.46068 0.0022314489
0.45019531 256.08792 0.0023625791
0.45996094 261.18674 0.0024038553
0.46972656 262.10297 0.0024282932
0.47949219 273.80377 0.0024673343
0.48925781 278.7854 0.0025576353
0.49902344 280.07635 0.0025676191
0.50878906 288.39145 0.0026389956
0.51855469 299.78027 0.0027129054
0.52832031 307.55682 0.0027878582
0.53808594 313.89261 0.0029054284
0.54785156 319.82269 0.0029246509
0.55761719 330.25089 0.0029909611
0.56738281 339.64935 0.0030045211
0.57714844 350.14499 0.0031030178
0.58691406 356.80887 0.0031498075
0.59667969 358.47153 0.0031664968
0.60644531 362.00757 0.0032353401
0.61621094 373.21176 0.0032863021
0.62597656 384.33594 0.0033637881
0.63574219 399.4487 0.0034624338
0.64550781 415.56094 0.0035656989
0.65527344 425.16376 0.0035960972
0.66503906 439.36926 0.0037036836
0.67480469 444.58908 0.0037461519
0.68457031 443.37582 0.0037400424
0.69433594 445.77283 0.0037500262
0.70410156 449.64636 0.0037717819
0.71386719 453.06873 0.003823489
0.72363281 468.33398 0.0039045513
0.73339844 483.13455 0.0039681792
0.74316406 495.15591 0.0040233135
0.75292969 507.52905 0.0041382015
0.76269531 519.23376 0.0041864812
0.77246094 526.89801 0.0042375922
0.78222656 536.96918 0.0043018162
0.79199219 540.8183 0.0043450296
0.80175781 548.8819 0.0044105947
0.81152344 565.83734 0.0044870377
0.82128906 574.04633 0.0045478344
0.83105469 577.00427 0.0045727193
0.84082031 588.1236 0.0046420097
0.85058594 595.14136 0.0046665967
0.86035156 607.03711 0.004747808
0.87011719 621.28143 0.0048282743
0.87988281 628.19183 0.0048615038
0.88964844 640.09534 0.0049494207
0.89941406 652.0545 0.0049677491
0.90917969 655.05151 0.0050070882
0.91894531 662.83893 0.0050984323
0.92871094 680.03406 0.0051732361
0.93847656 697.17224 0.0052751601
0.94824219 702.66016 0.0052706897
0.95800781 713.71521 0.0053656101
0.96777344 728.46527 0.0054392219
0.97753906 733.36536 0.0055024028
0.98730469 737.98376 0.0055354834
0.99707031 743.65485 0.0055809319
1.0068359 749.33972 0.0055553019
1.0166016 769.50995 0.0056840479
1.0263672 780.89954 0.0057408214
1.0361328 788.9682  0.0058296323
1.0458984 807.21478 0.0059081614
1.0556641 818.13831 0.0060163438
1.0654297 829.75464 0.0060366094
1.0751953 834.00964 0.0060430169
1.0849609 840.46051 0.0061120093
1.0947266 850.08911 0.0061514974
1.1044922 851.13141 0.0061647594
1.1142578 862.12506 0.0062406063
1.1240234 879.64575 0.0063359737
1.1337891 894.948   0.0063733757
1.1435547 912.22864 0.0065515935
1.1533203 920.2934  0.0065398216
1.1630859 926.23126 0.0066000223
1.1728516 929.31702 0.0066226721
1.1826172 934.29108 0.0066158175
1.1923828 945.7124  0.0067213178
1.2021484 964.9715  0.0068123639
1.2119141 973.04443 0.0068508089
1.2216797 976.88733 0.0068892539
1.2314453 982.74554 0.0069339573
1.2412109 996.85321 0.0069661438
1.2509766 1009.3273 0.0070412457
1.2607422 1021.0764 0.0071175396
1.2705078 1033.7628 0.0072005391
1.2802734 1046.2733 0.0072552264
1.2900391 1058.1056 0.0073081255
1.2998047 1074.6978 0.0074009597
1.3095703 1079.5431 0.0074373186
1.3193359 1085.5609 0.0074639916
1.3291016 1097.8655 0.0075256824
1.3388672 1106.4858 0.0075568259
1.3486328 1115.0122 0.0076372921
1.3583984 1136.1395 0.0077278912
1.3681641 1146.6434 0.0078132749
1.3779297 1162.1157 0.0078743696
1.3876953 1172.6354 0.0079104304
1.3974609 1181.5659 0.0079795718
1.4072266 1195.7679 0.008045733
1.4169922 1205.9408 0.0080806017
1.4267578 1216.9727 0.0081825256
1.4365234 1220.8512 0.008186698
1.4462891 1235.3282 0.0082522631
1.4560547 1245.1688 0.0083275139
1.4658203 1250.5995 0.0083681941
1.4755859 1261.9215 0.008431673
1.4853516 1276.5936 0.0085073709
1.4951172 1287.307  0.0085391104
1.5048828 1307.4369 0.008675158
1.5146484 1320.7013 0.008739531
1.5244141 1333.519  0.0088135898
1.5341797 1345.1134 0.0088831782
1.5439453 1354.2966 0.0088793039
1.5537109 1357.4562 0.0089126825
1.5634766 1367.7037 0.0089894235
1.5732422 1374.0575 0.0090040267
1.5830078 1387.4017 0.0090503693
1.5927734 1393.4301 0.0091637671
1.6025391 1409.2831 0.0092180073
1.6123047 1422.0642 0.0092865527
1.6220703 1435.4775 0.0093518198
1.6318359 1454.7245 0.0094532967
1.6416016 1460.2472 0.0094689429
1.6513672 1473.7006 0.0095327199
1.6611328 1488.3126 0.0096227229
1.6708984 1498.8136 0.009688139
1.6806641 1509.7346 0.0097341835
1.6904297 1519.8007 0.009791553
1.7001953 1523.2001 0.0098092854
1.7099609 1535.1525 0.0098776817
1.7197266 1545.1898 0.0099487603
1.7294922 1545.9856 0.0099372864
1.7392578 1553.2224 0.0099545717
1.7490234 1567.9736 0.010065585
1.7587891 1575.7261 0.010101795
1.7685547 1579.6012 0.010101497
1.7783203 1593.1771 0.010201782
1.7880859 1611.5741 0.010301322
1.7978516 1623.0197 0.010328144
1.8076172 1634.1443 0.010433495
1.8173828 1642.2971 0.010467917
1.8271484 1649.5476 0.010476261
1.8369141 1661.3282 0.010498017
1.8466797 1673.6586 0.010644644
1.8564453 1683.8887 0.010629594
1.8662109 1698.3223 0.010766089
1.8759766 1711.5214 0.01078248
1.8857422 1728.0437 0.010870993
1.8955078 1736.1077 0.01091525
1.9052734 1743.5879 0.010950267
1.9150391 1756.2627 0.011066198
1.9248047 1766.5507 0.011136979
1.9345703 1778.4698 0.011176765
1.9443359 1798.2449 0.011242777
1.9541016 1810.1207 0.011319071
1.9638672 1816.3282 0.011367053
1.9736328 1818.8257 0.011383742
1.9833984 1833.6458 0.011459738
1.9931641 1841.6594 0.011486709
2.0029297 1847.4839 0.011532158
2.0126953 1857.603  0.011624545
2.0224609 1868.8716 0.011684299
2.0322266 1885.3639 0.011745542
2.0419922 1902.55   0.011848509
2.0517578 1921.8751 0.011881292
2.0615234 1932.6066 0.012003779
2.0712891 1942.8026 0.012040436
2.0810547 1952.0657 0.012099892
2.0908203 1954.8873 0.012124032
2.1005859 1956.7579 0.012167394
2.1103516 1973.3826 0.012215972
2.1201172 1984.567  0.012271702
2.1298828 1990.7399 0.012326688
2.1396484 2001.8076 0.01237005
2.1494141 2012.5093 0.012423098
2.1591797 2020.309  0.012495071
2.1689453 2032.2808 0.012554675
2.1787109 2050.1704 0.012616962
2.1884766 2065.1294 0.012710392
2.1982422 2075.2029 0.012773424
2.2080078 2083.8494 0.012802929
2.2177734 2092.8049 0.012871921
2.2275391 2101.8857 0.012924671
2.2373047 2107.864  0.012941062
2.2470703 2117.2195 0.013028532
2.2568359 2120.5574 0.01303643
2.2666016 2132.8926 0.013099313
2.2763672 2152.0444 0.01318723
2.2861328 2166.7554 0.013313144
2.2958984 2181.6294 0.013344735
2.3056641 2199.7188 0.013438016
2.3154297 2215.4849 0.013569593
2.3251953 2224.9377 0.013572723
2.3349609 2227.2673 0.013618469
2.3447266 2229.4214 0.013654977
2.3544922 2230.8452 0.013634264
2.3642578 2238.7788 0.01367867
2.3740234 2254.1873 0.013781041
2.3837891 2268.958  0.013802946
2.3935547 2275.344  0.013866723
2.4033203 2287.4514 0.013955534
2.4130859 2297.9053 0.014039576
2.4228516 2313.0457 0.014102161
2.4326172 2328.9556 0.014176369
2.4423828 2345.2734 0.014328361
2.4521484 2351.061  0.014328957
2.4619141 2360.4417 0.014365613
2.4716797 2373.0542 0.014431179
2.4814453 2378.9839 0.014519542
2.4912109 2385.2617 0.014501363
2.5009766 2398.7563 0.014604479
2.5107422 2403.1394 0.014618635
2.5205078 2411.9966 0.014664978
2.5302734 2427.2283 0.014714301
2.5400391 2439.084  0.014807135
2.5498047 2454.3804 0.014859885
2.5595703 2459.7473 0.01488924
2.5693359 2460.8945 0.014977157
2.5791016 2470.2119 0.015008003
2.5888672 2483.1096 0.015093088
2.5986328 2490.0237 0.015110523
2.6083984 2502.0166 0.015203953
2.6181641 2511.7061 0.01520291
2.6279297 2526.3171 0.015320331
2.6376953 2534.0261 0.015341789
2.6474609 2541.7856 0.015437752
2.6572266 2548.7734 0.015441626
2.6669922 2550.293  0.015500039
2.6767578 2557.5845 0.01554504
2.6865234 2569.3218 0.015619248
2.6962891 2586.502  0.015695244
2.7060547 2607.0022 0.015833527
2.7158203 2618.406  0.015930235
2.7255859 2624.1194 0.015953332
2.7353516 2629.4321 0.016017854
2.7451172 2626.845  0.016034693
2.7548828 2625.4285 0.016058385
2.7646484 2636.8752 0.016126633
2.7744141 2643.6873 0.016146004
2.7841797 2652.5645 0.016260594
2.7939453 2665.3013 0.016348511
2.8037109 2668.6294 0.016371012
2.8134766 2673.4658 0.016468614
2.8232422 2683.1101 0.016485602
2.8330078 2702.6462 0.016619116
2.8427734 2705.0696 0.016707033
2.8525391 2707.4368 0.016701519
2.8623047 2717.4431 0.016788393
2.8720703 2725.2126 0.016864091
2.8818359 2734.3848 0.016947538
2.8916016 2738.1904 0.016959906
2.9013672 2735.0723 0.01697734
2.9111328 2742.3765 0.017031878
2.9208984 2755.342  0.017172396
2.9306641 2752.1316 0.017095804
2.9404297 2751.5803 0.017134249
2.9501953 2765.3086 0.017232597
2.9599609 2767.0759 0.017242879
2.9697266 2771.407  0.017292798
