MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.020508 s         4/20/2017 9:40:35 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.029296875 13.781673 0.00013977289
0.0390625 12.852438 0.00012889504
0.048828125 11.438317 0.0001052767
0.05859375 12.643859 0.00014193356
0.068359375 15.376768 0.00014029443
0.078125  19.596592 0.0001168251
0.087890625 27.470552 0.00019952655
0.09765625 37.896408 0.00027388334
0.10742188 52.847935 0.00041432679
0.1171875 55.575073 0.0004773587
0.12695313 59.722252 0.00058174133
0.13671875 63.720161 0.00056311488
0.14648438 77.665932 0.00062152743
0.15625   83.106567 0.00078290701
0.16601563 83.04261 0.00079549849
0.17578125 93.068665 0.00089377165
0.18554688 97.049324 0.00098213553
0.1953125 99.217216 0.00094033778
0.20507813 110.92823 0.0011085719
0.21484375 111.06405 0.0011333823
0.22460938 116.35322 0.00114806
0.234375  120.35422 0.0011860579
0.24414063 123.67975 0.0011709332
0.25390625 127.31191 0.0012414902
0.26367188 130.4834 0.0013007224
0.2734375 139.57907 0.0013752282
0.28320313 145.95174 0.0014539063
0.29296875 151.0273 0.0015032291
0.30273438 151.97798 0.0015462935
0.3125    159.80124 0.0016396493
0.32226563 170.31424 0.0016888231
0.33203125 178.45757 0.0017820299
0.34179688 176.09534 0.001835376
0.3515625 180.74509 0.0018488616
0.36132813 195.03165 0.0019472092
0.37109375 196.61725 0.0019962341
0.38085938 199.49533 0.0020442903
0.390625  203.99109 0.0021140277
0.40039063 213.96957 0.0021822751
0.41015625 222.10493 0.0022669882
0.41992188 223.50258 0.0022830814
0.4296875 234.98193 0.0023779273
0.43945313 241.8398 0.0024758279
0.44921875 242.01625 0.0024922192
0.45898438 243.86931 0.0025335699
0.46875   254.09058 0.0025720149
0.47851563 256.97311 0.0026617944
0.48828125 260.86777 0.0026586652
0.49804688 266.83978 0.0027500093
0.5078125 275.44336 0.0027956069
0.51757813 280.34814 0.0028041005
0.52734375 286.58572 0.0029050559
0.53710938 294.85327 0.0030019134
0.546875  296.49472 0.0030274689
0.55664063 296.55289 0.0030523539
0.56640625 306.64929 0.0031012297
0.57617188 311.98056 0.0031791627
0.5859375 320.38986 0.0032371283
0.59570313 324.60406 0.003285706
0.60546875 333.29031 0.003329739
0.61523438 344.36823 0.0034417212
0.625     353.40012 0.0035299361
0.63476563 362.33194 0.0036203861
0.64453125 368.84851 0.0036222488
0.65429688 378.38055 0.0036884099
0.6640625 389.77182 0.003773123
0.67382813 398.74719 0.0037898123
0.68359375 405.66721 0.0038568676
0.69335938 414.37469 0.0039000809
0.703125  423.63898 0.0039658695
0.71289063 427.63196 0.0039839
0.72265625 438.95587 0.0040271878
0.73242188 450.42075 0.0041247159
0.7421875 459.8725  0.0041463226
0.75195313 470.04572 0.0042199343
0.76171875 477.58661 0.0042883307
0.77148438 483.02597 0.004247576
0.78125   501.14557 0.0043780357
0.79101563 509.49844 0.0044114143
0.80078125 519.97974 0.0044351816
0.81054688 536.3045 0.0045520812
0.8203125 559.17737 0.0046351552
0.83007813 570.20691 0.0047352165
0.83984375 577.24036 0.0047823042
0.84960938 587.57422 0.0048470497
0.859375  598.25226 0.004901588
0.86914063 614.45471 0.0049759448
0.87890625 625.77313 0.0050327182
0.88867188 630.97314 0.0050742179
0.8984375 641.74042 0.0051267445
0.90820313 648.38055 0.0051645935
0.91796875 651.69696 0.0051739812
0.92773438 658.75201 0.0052076578
0.9375    671.1106  0.0053098053
0.94726563 684.65723 0.0053471327
0.95703125 697.453  0.0054298341
0.96679688 703.44562 0.00548549
0.9765625 716.46967 0.0056132674
0.98632813 731.78949 0.005653128
0.99609375 740.04437 0.0057421625
1.0058594 752.84833 0.0057692081
1.015625  758.36523 0.0058437139
1.0253906 769.49402 0.0058615208
1.0351563 779.13239 0.0059220195
1.0449219 785.99445 0.0059848279
1.0546875 793.96558 0.0060337782
1.0644531 806.0307  0.006133914
1.0742188 814.32617 0.0061938167
1.0839844 819.08392 0.0061962008
1.09375   825.29224 0.0062657893
1.1035156 835.90076 0.0063374639
1.1132813 854.98193 0.0064248592
1.1230469 862.9411  0.0064641982
1.1328125 872.90021 0.0065610558
1.1425781 885.55652 0.0066155195
1.1523438 895.78113 0.0066848844
1.1621094 911.14539 0.0067966431
1.171875  919.35693 0.0068283826
1.1816406 919.88751 0.0068640709
1.1914063 918.94568 0.006884858
1.2011719 922.73242 0.006903559
1.2109375 936.36963 0.0069858134
1.2207031 948.78735 0.0070466101
1.2304688 955.02905 0.0071223825
1.2402344 959.91382 0.0071509928
1.25      971.69128 0.0072593242
1.2597656 984.7287  0.0072812289
1.2695313 998.87415 0.0074031204
1.2792969 1005.2405 0.0074262917
1.2890625 1008.3074 0.0075154752
1.2988281 1012.616  0.0075630099
1.3085938 1013.6314 0.007583946
1.3183594 1025.0157 0.0076270849
1.328125  1037.9026 0.0077293068
1.3378906 1045.991  0.0078136474
1.3476563 1050.5365 0.0078406185
1.3574219 1052.5616 0.0078712404
1.3671875 1054.6074 0.0079066306
1.3769531 1056.2611 0.0079448521
1.3867188 1068.272  0.0079522282
1.3964844 1079.1398 0.0080405176
1.40625   1090.8145 0.0081264228
1.4160156 1110.5215 0.0082381815
1.4257813 1121.3224 0.0083889812
1.4355469 1115.3982 0.0083771348
1.4453125 1115.9177 0.0084222108
1.4550781 1125.8271 0.0084772706
1.4648438 1131.1761 0.0085132569
1.4746094 1133.0896 0.0085251033
1.484375  1142.0903 0.0086277723
1.4941406 1152.076  0.0087135285
1.5039063 1158.714  0.0087288767
1.5136719 1166.193  0.0087553263
1.5234375 1174.5223 0.0088418275
1.5332031 1184.4221 0.0089479983
1.5429688 1185.5569 0.008995235
1.5527344 1186.4792 0.0090316683
1.5625    1198.48   0.0090640783
1.5722656 1214.7579 0.0091772527
1.5820313 1219.7231 0.0092355162
1.5917969 1225.6051 0.0093337148
1.6015625 1230.579  0.0093717128
1.6113281 1237.9677 0.0094204396
1.6210938 1249.1962 0.0095097721
