MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/14/2017 12:19:42 PM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.024414063 37.954266 -3.8892031e-05
0.034179688 36.468246 -3.3676624e-05
0.043945313 32.425339 -4.5895576e-05
0.053710938 31.896458 -7.0035458e-05
0.063476563 32.826252 -1.2665987e-05
0.073242188 33.620892 -1.3560057e-05
0.083007813 33.500046 1.8775463e-05
0.092773438 34.130627 -3.7699938e-05
0.10253906 34.278072 5.9604645e-06
0.11230469 35.67189 2.7865171e-05
0.12207031 38.279667 2.9504299e-05
0.13183594 41.204727 8.59797e-05
0.14160156 44.278542 6.0647726e-05
0.15136719 47.606861 0.00012934208
0.16113281 50.862953 0.00013530254
0.17089844 54.376537 0.00015854836
0.18066406 59.486217 0.00017642975
0.19042969 65.690987 0.00019222498
0.20019531 70.92498 0.00029847026
0.20996094 75.902191 0.00034078956
0.21972656 79.154411 0.00039681792
0.22949219 84.091049 0.00043720007
0.23925781 92.469048 0.00050604343
0.24902344 98.129654 0.00052198768
0.25878906 104.81607 0.00057533383
0.26855469 110.29564 0.00063046813
0.27832031 115.88638 0.00068351626
0.28808594 122.4425 0.00072523952
0.29785156 129.69926 0.00081494451
0.30761719 136.52647 0.00084713101
0.31738281 142.29771 0.00086158514
0.32714844 149.24258 0.00091925263
0.33691406 157.02162 0.00097930431
0.34667969 162.09752 0.0010751188
0.35644531 169.43135 0.0010672212
0.36621094 176.58871 0.0011885166
0.37597656 184.45749 0.0011980534
0.38574219 189.61728 0.0013048947
0.39550781 195.23001 0.0012737513
0.40527344 201.59293 0.0013595819
0.41503906 209.33203 0.0014051795
0.42480469 216.03201 0.0014193356
0.43457031 222.33575 0.00153929
0.44433594 231.51968 0.001591295
0.45410156 239.76482 0.0016406178
0.46386719 248.29597 0.0017309189
0.47363281 256.48489 0.0017695129
0.48339844 265.29022 0.00183478
0.49316406 272.47751 0.0018791854
0.50292969 281.68558 0.0019592047
0.51269531 289.60229 0.0020180643
0.52246094 298.51675 0.0020974874
0.53222656 308.07532 0.0021484494
