MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.020508 s         4/20/2017 8:02:41 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.028320313 -2.8070064 8.2626939e-05
0.038085938 -2.6955829 4.9546361e-05
0.047851563 -3.1999128 3.5613775e-05
0.057617188 -2.2494793 8.0019236e-05
0.067382813 -0.85245818 7.4282289e-05
0.077148438 0.28280541 5.8934093e-05
0.086914063 6.6632967 0.00017173588
0.096679688 17.370693 0.0002501905
0.10644531 21.338314 0.00026606023
0.11621094 27.255285 0.00031113625
0.12597656 36.089603 0.00036686659
0.13574219 40.410961 0.00040046871
0.14550781 46.471489 0.00044666231
0.15527344 54.959244 0.00051058829
0.16503906 67.931396 0.00060938299
0.17480469 79.99202 0.00072330236
0.18457031 83.888725 0.00077053905
0.19433594 86.82048 0.00084958971
0.20410156 90.90226 0.0008815527
0.21386719 93.539116 0.00088453293
0.22363281 100.48851 0.00095441937
0.23339844 107.29086 0.0010327995
0.24316406 110.48016 0.0010868907
0.25292969 117.19368 0.0012149662
0.26269531 120.52953 0.0012318045
0.27246094 121.55342 0.0013037771
0.28222656 124.03719 0.0013325363
0.29199219 130.42365 0.001405403
0.30175781 135.20564 0.001462996
0.31152344 140.22421 0.001565516
0.32128906 144.35321 0.001623407
0.33105469 147.71483 0.0016738474
0.34082031 150.65442 0.0017206371
0.35058594 152.67406 0.0017673522
0.36035156 155.42068 0.0018335879
0.37011719 158.96339 0.0018785149
0.37988281 164.23944 0.001924634
0.38964844 166.00746 0.0019897521
0.39941406 167.52142 0.0020096451
0.40917969 171.60646 0.0020644069
0.41894531 176.5392 0.002130717
0.42871094 182.27797 0.0021924824
0.43847656 190.80997 0.0022949278
0.44824219 190.69318 0.0023698062
0.45800781 192.28798 0.0023534149
0.46777344 200.92033 0.0024870783
0.47753906 205.11475 0.0025261939
0.48730469 205.98315 0.0026382506
0.49707031 208.41319 0.0026296079
0.50683594 210.82741 0.0026481599
0.51660156 215.25197 0.0026920438
0.52636719 220.23062 0.0028016418
0.53613281 222.72029 0.0028575957
0.54589844 229.23193 0.002964735
0.55566406 230.95387 0.0029744953
0.56542969 234.44298 0.0030537695
0.57519531 238.97841 0.0030915439
0.58496094 240.52849 0.0031608343
0.59472656 242.62692 0.0031579286
0.60449219 251.20428 0.0032830238
0.61425781 253.31285 0.0033099949
0.62402344 256.90076 0.0033979863
0.63378906 263.87115 0.0034645945
0.64355469 267.47607 0.0035580248
0.65332031 269.47391 0.0036472827
0.66308594 270.88464 0.0036555529
0.67285156 273.655  0.0036482513
0.68261719 277.36804 0.0037381053
0.69238281 280.41959 0.0037620962
0.70214844 285.96191 0.0038576126
0.71191406 289.85709 0.003869459
0.72167969 294.57263 0.0039321184
0.73144531 298.72324 0.0040136278
0.74121094 304.10553 0.0041028857
0.75097656 305.4704 0.00415802
0.76074219 305.5108 0.0041460246
0.77050781 309.32071 0.0042162091
0.78027344 322.02765 0.0042758137
0.79003906 327.37991 0.004413873
0.79980469 327.14752 0.00444673
0.80957031 327.07678 0.0045053661
0.81933594 332.49286 0.0044900924
0.82910156 342.50455 0.0046034902
0.83886719 344.66907 0.0046749413
0.84863281 346.4559 0.0047035515
0.85839844 350.53494 0.0046998262
0.86816406 357.33099 0.0047708303
0.87792969 362.66742 0.0048556179
0.88769531 366.9903 0.0049392879
0.89746094 371.38382 0.0049084425
0.90722656 380.59253 0.0050233305
0.91699219 390.22192 0.0051996857
0.92675781 392.88699 0.0052452832
0.93652344 393.88168 0.0052221864
0.94628906 404.22018 0.0053181499
0.95605469 412.44351 0.0053783506
0.96582031 415.81808 0.0054958463
0.97558594 425.0997 0.0055068731
0.98535156 431.7038 0.0055763125
0.99511719 438.4068 0.0056426227
1.0048828 442.40369 0.0057050586
1.0146484 444.56769 0.0057398528
1.0244141 454.54333 0.0057978183
1.0341797 459.15613 0.0058564544
1.0439453 471.90585 0.0060063601
1.0537109 475.38306 0.0059957057
1.0634766 485.1423  0.0060982257
