MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.016602 s         4/13/2017 1:46:37 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
1.2060547 329.21136 0.0068182498 0.00016493743
1.2158203 332.73935 0.0068998337 0.00014610877
1.2255859 336.22488 0.0069409609 0.00023602534
1.2353516 338.54565 0.0070174783 5.1158029e-05
1.2451172 340.74277 0.0070653856 6.337247e-05
1.2548828 342.91699 0.0071761757 0.00019237204
1.2646484 344.39056 0.007225126 0.00015259186
1.2744141 347.83475 0.0073126704 0.00014580412
1.2841797 349.2211  0.0073353946 5.4418131e-05
1.2939453 351.3945  0.0073384494 0.00019934386
1.3037109 353.73508 0.0074358284 0.00026172635
1.3134766 357.69128 0.0074660033 0.00010691502
1.3232422 359.81921 0.0076010823 0.00014167714
1.3330078 360.81686 0.0075796992 0.00011794099
1.3427734 362.9458  0.0076624006 0.00023484934
1.3525391 364.09167 0.0077173859 8.7985565e-05
1.3623047 364.76859 0.0077603012 4.4978737e-05
1.3720703 366.93314 0.0078199804 0.00017337303
1.3818359 370.56082 0.0078816712 0.00014187075
1.3916016 375.00357 0.0079593062 0.00017539137
1.4013672 376.13913 0.0080390275 4.6008572e-05
1.4111328 377.13885 0.0080936402 0.00016288515
1.4208984 378.00134 0.0081009418 0.00025655417
1.4306641 381.29517 0.0081462413 0.00011913581
1.4404297 383.76501 0.0081798434 0.00012600062
1.4501953 385.76147 0.0082883984 8.4785061e-05
1.4599609 389.69785 0.0083384663 0.00025061509
1.4697266 392.63815 0.0084023923 0.00017338179
1.4794922 393.85019 0.0084972382 8.9530891e-05
1.4892578 396.53098 0.0085639209 0.00014653195
1.4990234 398.82547 0.0086458027 0.0001518338
1.5087891 401.93668 0.0086173415 0.00020724948
1.5185547 405.19839 0.0087106228 4.5066881e-05
1.5283203 407.63803 0.0087939948 7.1890638e-05
1.5380859 407.58475 0.0088170916 0.00021853183
1.5478516 410.14508 0.0089043379 0.00014682043
1.5576172 411.69629 0.0089684874 0.00014043273
1.5673828 411.10294 0.0089456886 5.9733131e-05
1.5771484 415.77734 0.0090316683 0.00022012135
1.5869141 419.27585 0.0091554224 0.00024293804
1.5966797 421.31528 0.0091972947 9.971502e-05
1.6064453 424.3157  0.0092606992 0.00013629779
1.6162109 426.34146 0.0092854351 0.00013376716
1.6259766 429.77386 0.0093554705 0.00026690416
1.6357422 431.61407 0.0094550848 0.00010243043
1.6455078 433.86676 0.0094581395 3.7158232e-05
1.6552734 434.18182 0.0095373392 0.0001727224
1.6650391 435.80508 0.0095912069 0.00016852954
1.6748047 438.6539  0.0096289068 0.00017696213
1.6845703 442.22482 0.009740144 4.8666443e-05
1.6943359 444.57346 0.0097560883 0.00016233334
1.7041016 448.32385 0.0098310411 0.00024203448
1.7138672 450.56396 0.0099518141 0.00011719135
1.7236328 451.70346 0.0099452576 0.00012933221
1.7333984 454.11975 0.010016934 9.0851143e-05
1.7431641 457.45267 0.01006879 0.00025340833
1.7529297 460.25125 0.010118262 0.00015582317
1.7626953 459.21671 0.010137856 5.9446367e-05
1.7724609 460.50784 0.010205805 0.00018294292
1.7822266 465.99478 0.010295808 0.00013764402
1.7919922 468.68854 0.010366662 0.00020991017
1.8017578 469.5094  0.010385736 5.005538e-05
1.8115234 472.0383  0.010434538 7.1810122e-05
1.8212891 474.35553 0.010525362 0.00022145615
1.8310547 478.55502 0.010592192 0.00012981202
1.8408203 482.73215 0.010658205 0.00014816559
1.8505859 484.11392 0.010707005 5.5964043e-05
1.8603516 486.12198 0.010732263 0.00022158642
1.8701172 488.78455 0.010844767 0.00023446881
1.8798828 490.8461  0.010924786 0.00011269395
1.8896484 490.56149 0.010964274 0.00014404429
1.8994141 492.41162 0.011004061 0.00013595347
1.9091797 495.04196 0.010981113 0.00025033997
1.9189453 499.67108 0.011143311 8.063508e-05
1.9287109 501.87134 0.011143982 2.1777943e-05
1.9384766 504.21625 0.011255666 0.00019579366
1.9482422 505.36707 0.011283978 0.00015128813
1.9580078 507.9437  0.011379794 0.00018344524
1.9677734 510.12576 0.011388212 5.5782471e-05
1.9775391 511.36523 0.011445433 0.00016408201
1.9873047 514.26575 0.011508389 0.00024058625
1.9970703 519.22125 0.011571348 0.0001401804
2.0068359 523.39594 0.011686534 0.00014909641
2.0166016 523.59442 0.011709555 9.6261334e-05
2.0263672 525.68152 0.011758133 0.0002426024
2.0361328 528.2309  0.011871978 0.00014327062
2.0458984 529.79956 0.011858195 5.3377153e-05
2.0556641 533.41028 0.011951327 0.00015832647
2.0654297 536.50665 0.012004451 0.00015427098
2.0751953 536.97534 0.01206644 0.00021514788
2.0849609 539.38739 0.012090429 5.2371237e-05
2.0947266 542.88147 0.012132078 0.00011524137
2.1044922 544.57019 0.012209042 0.00021958069
2.1142578 545.15613 0.012289361 0.00014317315
2.1240234 548.13239 0.012346059 0.00015294533
2.1337891 552.11639 0.012422725 6.1244296e-05
2.1435547 554.83929 0.012458861 0.00023117087
2.1533203 557.02423 0.01249574 0.00022307003
2.1630859 560.10516 0.012594684 0.00010048848
2.1728516 562.22632 0.012625829 0.00016052542
2.1826172 564.19574 0.012709125 0.00014911235
2.1923828 566.27502 0.012737513 0.00024772921
2.2021484 568.89032 0.012794658 9.3183939e-05
2.2119141 573.37836 0.012897774 2.749848e-05
2.2216797 574.57019 0.012952463 0.00020649038
2.2314453 575.90027 0.013012365 0.00014471551
2.2412109 580.30811 0.013020261 0.00017091561
2.2509766 582.79468 0.013151987 4.0494517e-05
2.2607422 585.86066 0.013168975 0.00016670654
2.2705078 587.53101 0.013225301 0.00026244222
2.2802734 587.71112 0.013276859 0.00010796125
2.2900391 590.47864 0.013353378 0.00014316798
2.2998047 593.85254 0.013391896 0.00013306686
2.3095703 597.26312 0.013502389 0.00024882154
2.3193359 599.16852 0.013516172 0.00012902106
2.3291016 602.18945 0.013580843 4.9101844e-05
2.3388672 604.86005 0.013630613 0.00016466412
2.3486328 606.13379 0.013708621 0.00015920722
2.3583984 606.71594 0.013746695 0.00020757961
2.3681641 608.52069 0.01377426 4.8766833e-05
2.3779297 611.92676 0.013833865 0.00010657271
2.3876953 615.50122 0.013895408 0.00022564684
2.3974609 619.0072  0.014000386 0.00014978157
2.4072266 619.8338  0.014002248 0.00014104198
2.4169922 621.21478 0.014063269 5.3629079e-05
2.4267578 624.96796 0.014122502 0.00023422045
2.4365234 627.75983 0.014159902 0.00021779875
2.4462891 632.23346 0.014258325 8.7555534e-05
2.4560547 635.21979 0.014304296 0.0001576981
2.4658203 636.52338 0.014408529 0.00014556035
2.4755859 638.92139 0.014436468 0.00025225212
2.4853516 641.91254 0.014505535 8.6004926e-05
2.4951172 644.42041 0.014572517 4.0968454e-05
2.5048828 646.30548 0.014657676 0.00019072296
2.5146484 646.93958 0.014638976 0.00015145559
2.5244141 650.6701  0.014753417 0.00015954186
2.5341797 654.51947 0.014798419 3.3312557e-05
2.5439453 656.5069  0.014873818 0.00017971515
2.5537109 658.76501 0.014908091 0.00026221859
2.5634766 661.82672 0.014948622 8.9603214e-05
2.5732422 666.36743 0.01505211 0.0001288468
2.5830078 668.3338  0.015112535 0.0001127681
2.5927734 669.05841 0.015142187 0.0002610276
2.6025391 671.23163 0.015179068 0.00012597724
2.6123047 673.63544 0.015280992 5.4847962e-05
2.6220703 674.89105 0.015280992 0.0001503891
2.6318359 675.6441  0.015315489 0.00013030655
2.6416016 680.08063 0.015415549 0.00020778338
2.6513672 683.13385 0.015441998 4.0242259e-05
2.6611328 687.21338 0.01551196 0.00011815786
2.6708984 692.15106 0.015586392 0.00023120567
2.6806641 693.08771 0.015638024 0.00013993574
