MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.016602 s         4/13/2017 2:32:34 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
1.1386719 1013.3258 0.006159842 -4.9709402e-06
1.1484375 1030.3385 0.0063078105 1.6615622e-05
1.1582031 1041.8861 0.006338954 8.6627151e-06
1.1679688 1046.7357 0.0064213574 0.00011909428
1.1777344 1054.011  0.0064595044 -1.122835e-05
1.1875    1065.3678 0.0065222383 -7.6384291e-05
1.1972656 1077.1774 0.0066202879 5.6695149e-05
1.2070313 1086.566  0.006698966 3.7085014e-05
1.2167969 1098.5824 0.0067710876 7.2469629e-05
1.2265625 1108.9984 0.0068069994 -7.3262418e-05
1.2363281 1118.2731 0.0069093704 3.2196258e-05
1.2460938 1123.6169 0.0069786608 0.00011999429
1.2558594 1129.6434 0.0070250034 5.3273188e-06
1.265625  1140.1635 0.0070349872 3.8661372e-05
1.2753906 1151.6849 0.0071665645 -2.8659224e-05
1.2851563 1158.0195 0.0071927905 0.00012270501
1.2949219 1157.8854 0.0072237849 5.4735625e-05
1.3046875 1163.5311 0.0072710216 -5.3204065e-05
1.3144531 1173.1827 0.007315129 3.904296e-05
1.3242188 1184.4089 0.0074179471 4.990356e-05
1.3339844 1191.9398 0.0074735284 0.00011693982
1.34375   1199.0765 0.0075134635 -7.1978298e-05
1.3535156 1204.5334 0.0076167285 -5.5173645e-05
1.3632813 1211.3903 0.0077027082 6.5096217e-05
1.3730469 1216.262  0.0076287985 3.025174e-05
1.3828125 1220.2279 0.0077039003 4.1167197e-05
1.3925781 1219.2577 0.0077494979 -8.137196e-05
1.4023438 1222.4655 0.0077655911 8.5364001e-05
1.4121094 1229.4436 0.0078380108 0.00013642051
1.421875  1230.5171 0.0078420341 -1.4702648e-05
1.4316406 1233.8434 0.0079035759 5.1118473e-06
1.4414063 1243.9615 0.0079151988 -7.6623855e-06
1.4511719 1255.1748 0.0080795586 0.00013859659
1.4609375 1267.6705 0.0081767142 -1.0506425e-05
1.4707031 1277.3496 0.0082582235 -9.7262251e-05
1.4804688 1280.3789 0.0083242357 5.9410861e-05
1.4902344 1274.6718 0.0083620846 2.6273512e-05
1.5       1272.5768 0.0083452463 6.89277e-05
1.5097656 1281.0056 0.0083994865 -9.0052643e-05
1.5195313 1295.1877 0.0085304677 3.7312744e-05
1.5292969 1306.8115 0.0086356699 0.00011795224
1.5390625 1315.1276 0.0086954236 6.5874056e-06
1.5488281 1321.0803 0.0087997317 2.9156625e-05
1.5585938 1322.0925 0.0088758767 -3.2328226e-05
1.5683594 1322.1273 0.0088970363 0.00013018714
1.578125  1328.6793 0.0090093911 7.1217299e-05
1.5878906 1332.517  0.0090166926 -4.3406671e-05
1.5976563 1331.2914 0.0090792775 2.8453005e-05
1.6074219 1335.8783 0.0090794265 2.549232e-05
1.6171875 1339.7615 0.0091542304 0.0001011507
1.6269531 1343.9205 0.0091700256 -4.1886626e-05
1.6367188 1352.6461 0.0092485547 -5.5366345e-05
1.6464844 1360.2222 0.0093206763 7.9323145e-05
1.65625   1367.2172 0.0094024837 2.4808896e-05
1.6660156 1371.668  0.0094330311 2.9473988e-05
1.6757813 1375.2137 0.0095233321 -8.2174731e-05
1.6855469 1381.9491 0.0095772743 9.2489332e-05
1.6953125 1387.481  0.009649694 0.00014448963
1.7050781 1392.3842 0.0096939504 -2.9267969e-06
1.7148438 1394.5326 0.0097435713 2.4103758e-05
1.7246094 1398.4768 0.0098149478 1.2373396e-05
1.734375  1404.1002 0.0098919868 0.00012056044
1.7441406 1407.8374 0.0099310279 5.0692229e-06
1.7539063 1411.5669 0.010006726 -7.1165879e-05
1.7636719 1410.5151 0.0099642575 4.653585e-05
1.7734375 1410.4642 0.010019541 4.1251758e-05
1.7832031 1419.6124 0.010109395 4.9289654e-05
1.7929688 1427.8658 0.010164678 -9.0374109e-05
1.8027344 1435.4218 0.010298491 5.0353294e-05
1.8125    1441.8177 0.01035735 0.00011892813
1.8222656 1443.49   0.010368079 7.587907e-06
1.8320313 1444.441  0.010395795 1.9463989e-05
1.8417969 1446.8414 0.01049161 -3.9617364e-05
1.8515625 1453.0352 0.010542125 0.00013230466
1.8613281 1458.6711 0.01064226 6.5447181e-05
1.8710938 1465.2719 0.010686964 -4.3092175e-05
1.8808594 1469.4526 0.010716915 4.3199994e-05
1.890625  1471.6249 0.010769516 1.8878245e-05
1.9003906 1474.4738 0.010855496 0.00010691232
1.9101563 1479.6907 0.010908842 -5.7166941e-05
1.9199219 1485.5082 0.010958612 -6.1038838e-05
1.9296875 1487.9127 0.010993481 8.2894177e-05
1.9394531 1490.3489 0.011107475 3.688833e-05
1.9492188 1491.9008 0.011126846 4.496831e-05
1.9589844 1493.0404 0.011146516 -8.0715479e-05
1.96875   1493.8026 0.011202097 7.7263256e-05
1.9785156 1489.5225 0.011173189 0.00012962391
1.9882813 1486.0267 0.011190474 -1.4930781e-05
1.9980469 1489.6927 0.011248589 2.1239122e-05
2.0078125 1499.4834 0.011311471 4.3610771e-06
2.0175781 1507.7321 0.011342019 0.00012944982
2.0273438 1520.8988 0.011500716 -3.1319618e-05
2.0371094 1535.337  0.011590868 -8.7675529e-05
2.046875  1543.875  0.011662543 6.1854858e-05
2.0566406 1547.6089 0.011768341 2.6860085e-05
2.0664063 1547.4819 0.011828095 5.5539989e-05
2.0761719 1549.9886 0.01188606 -9.7494951e-05
2.0859375 1555.7666 0.011968166 3.0592768e-05
2.0957031 1556.2247 0.012032837 0.00011568406
2.1054688 1552.46   0.012024641 5.1451907e-06
2.1152344 1552.6973 0.012058616 2.7626726e-05
2.125     1554.7126 0.012168288 -3.601161e-05
2.1347656 1562.8629 0.012202114 0.00011538678
2.1445313 1570.1346 0.012257248 6.5719229e-05
2.1542969 1574.9456 0.012328327 -4.5161723e-05
2.1640625 1577.9773 0.012400448 2.2711502e-05
2.1738281 1583.1062 0.012435019 2.2549912e-05
2.1835938 1585.8627 0.01255244 0.00012361881
2.1933594 1588.9421 0.012546629 -5.5375018e-05
2.203125  1596.8666 0.012626946 -6.4463951e-05
2.2128906 1603.3925 0.012690872 8.5178486e-05
2.2226563 1608.8013 0.012784153 1.9586134e-05
2.2324219 1608.8905 0.012842417 3.901068e-05
2.2421875 1605.926  0.012868643 -8.3967068e-05
2.2519531 1602.9645 0.012894273 8.7741748e-05
2.2617188 1611.0862 0.012937486 0.00014904272
2.2714844 1618.3606 0.013014376 -1.9592493e-05
2.28125   1630.0776 0.013117492 1.0168867e-06
2.2910156 1636.9502 0.01319617 7.6529614e-06
2.3007813 1635.5363 0.013249069 0.00013589217
2.3105469 1635.4836 0.013298392 -7.4984187e-06
2.3203125 1635.7328 0.013319552 -9.0822432e-05
2.3300781 1638.2214 0.0134103 6.1224891e-05
2.3398438 1638.5225 0.013424754 2.7565999e-05
2.3496094 1638.5856 0.013501346 6.1254395e-05
2.359375  1638.6456 0.01350075 -8.2644212e-05
2.3691406 1646.4575 0.013543218 2.8640232e-05
2.3789063 1653.9288 0.01358375 0.00012597279
2.3886719 1658.1095 0.013646483 7.029234e-06
2.3984375 1655.5205 0.013666749 3.5148234e-05
2.4082031 1653.7064 0.013706088 -1.9146712e-05
2.4179688 1653.4133 0.013699383 0.000128167
2.4277344 1655.098  0.01372993 6.5223343e-05
2.4375    1667.3763 0.013855696 -4.2943419e-05
2.4472656 1674.8827 0.013937354 1.527974e-05
2.4570313 1685.3162 0.014005005 1.7928332e-05
2.4667969 1695.0051 0.014152378 0.00011526013
2.4765625 1702.8337 0.014240742 -3.9125833e-05
2.4863281 1711.8756 0.014337897 -5.5956756e-05
2.4960938 1716.3212 0.014381558 8.9573878e-05
2.5058594 1717.7045 0.014458597 1.3443707e-05
2.515625  1716.6359 0.01450181 4.0687642e-05
2.5253906 1721.3101 0.014580339 -8.8800873e-05
2.5351563 1724.2932 0.014663935 8.3704217e-05
2.5449219 1730.0472 0.014709383 0.00013920135
2.5546875 1726.1592 0.01472041 -1.4118452e-05
2.5644531 1730.2223 0.014818907 3.0325677e-05
2.5742188 1731.6276 0.014862567 2.5045622e-06
2.5839844 1728.3683 0.014853328 0.000117948
2.59375   1729.9487 0.014875978 -8.3240966e-06
2.6035156 1739.5068 0.014981627 -7.5324584e-05
2.6132813 1754.3718 0.015101135 6.93607e-05
2.6230469 1764.2836 0.015203655 2.117212e-05
2.6328125 1766.2349 0.015259832 6.738674e-05
2.6425781 1762.5825 0.015268326 -8.5027292e-05
2.6523438 1758.0178 0.015358776 4.0584633e-05
2.6621094 1754.1128 0.015309602 0.00010534438
2.671875  1764.3542 0.015433282 2.3829249e-05
2.6816406 1778.3962 0.015531033 2.6037758e-05
2.6914063 1786.126  0.015578866 -3.863754e-05
2.7011719 1788.4965 0.015701205 0.00010471183
2.7109375 1791.3771 0.015740991 6.4831787e-05
2.7207031 1786.7921 0.015737563 -5.5889694e-05
2.7304688 1780.7242 0.01576528 4.6896468e-05
2.7402344 1785.2059 0.015782416 1.6277634e-05
2.75      1799.5258 0.015904307 0.00010681991
2.7597656 1808.2959 0.016000122 -5.2341751e-05
2.7695313 1810.887  0.016011298 -5.212711e-05
2.7792969 1812.1249 0.016098469 7.8339406e-05
2.7890625 1815.4895 0.016145408 3.2366323e-05
2.7988281 1822.9414 0.016238093 2.9084438e-05
2.8085938 1827.0341 0.016305745 -6.9237954e-05
